datetime,obs_type,usage,temp
2020-08-06 18:51:31.839553,cooldown,0.4,46.698
2020-08-06 18:51:32.842486,cooldown,0.0,47.236
2020-08-06 18:51:33.845249,cooldown,0.0,46.16
2020-08-06 18:51:34.848050,cooldown,0.0,46.16
2020-08-06 18:51:35.850814,cooldown,0.0,47.236
2020-08-06 18:51:36.853567,cooldown,0.0,46.698
2020-08-06 18:51:37.856294,cooldown,0.0,46.698
2020-08-06 18:51:38.859344,cooldown,0.5,46.698
2020-08-06 18:51:39.862099,cooldown,0.0,46.16
2020-08-06 18:51:40.864931,cooldown,0.0,47.236
2020-08-06 18:51:41.867680,cooldown,0.0,47.236
2020-08-06 18:51:42.870494,cooldown,0.0,47.236
2020-08-06 18:51:43.873277,cooldown,0.0,47.236
2020-08-06 18:51:44.876027,cooldown,0.0,47.236
2020-08-06 18:51:45.878987,cooldown,0.3,46.16
2020-08-06 18:51:46.881886,cooldown,1.3,46.698
2020-08-06 18:51:47.884678,cooldown,0.0,46.698
2020-08-06 18:51:48.887446,cooldown,0.5,46.16
2020-08-06 18:51:49.890209,cooldown,0.0,46.698
2020-08-06 18:51:50.893029,cooldown,0.0,46.698
2020-08-06 18:51:51.895811,cooldown,0.2,46.16
2020-08-06 18:51:52.898783,cooldown,0.3,46.16
2020-08-06 18:51:53.901567,cooldown,0.0,46.16
2020-08-06 18:51:54.904338,cooldown,0.3,46.16
2020-08-06 18:51:55.907180,cooldown,0.2,46.16
2020-08-06 18:51:56.909946,cooldown,0.0,46.16
2020-08-06 18:51:57.912744,cooldown,0.0,46.698
2020-08-06 18:51:58.915495,cooldown,0.0,47.236
2020-08-06 18:51:59.918277,cooldown,0.0,46.698
2020-08-06 18:52:00.921193,cooldown,1.3,47.236
2020-08-06 18:52:01.924200,cooldown,0.5,46.16
2020-08-06 18:52:02.927100,cooldown,0.3,47.236
2020-08-06 18:52:03.929911,cooldown,0.0,46.698
2020-08-06 18:52:04.932712,cooldown,0.0,47.236
2020-08-06 18:52:05.935467,cooldown,0.0,46.698
2020-08-06 18:52:06.938202,cooldown,0.0,46.698
2020-08-06 18:52:07.940975,cooldown,0.0,46.698
2020-08-06 18:52:08.943764,cooldown,0.0,46.698
2020-08-06 18:52:09.946566,cooldown,0.5,46.16
2020-08-06 18:52:10.949418,cooldown,0.0,46.698
2020-08-06 18:52:11.952180,cooldown,0.0,46.698
2020-08-06 18:52:12.954927,cooldown,0.0,47.236
2020-08-06 18:52:13.957690,cooldown,0.0,47.236
2020-08-06 18:52:14.960485,cooldown,0.2,47.236
2020-08-06 18:52:15.963247,cooldown,0.0,47.236
2020-08-06 18:52:16.965988,cooldown,0.0,46.698
2020-08-06 18:52:17.968832,cooldown,0.3,47.236
2020-08-06 18:52:18.971644,cooldown,0.0,47.236
2020-08-06 18:52:19.974417,cooldown,0.0,46.16
2020-08-06 18:52:20.977211,cooldown,0.3,47.236
2020-08-06 18:52:21.979972,cooldown,0.0,47.236
2020-08-06 18:52:22.982771,cooldown,0.0,46.698
2020-08-06 18:52:23.985551,cooldown,0.0,46.698
2020-08-06 18:52:24.988326,cooldown,0.0,47.236
2020-08-06 18:52:25.991069,cooldown,0.2,47.236
2020-08-06 18:52:26.993836,cooldown,0.0,47.236
2020-08-06 18:52:27.996713,cooldown,0.3,47.236
2020-08-06 18:52:28.999572,cooldown,0.3,46.698
2020-08-06 18:52:30.002336,cooldown,1.7,47.236
2020-08-06 18:52:31.005065,cooldown,0.0,46.698
2020-08-06 18:52:31.006039,min,,46.16
2020-08-06 18:52:32.015743,warmup,97.5,49.388
2020-08-06 18:52:33.017183,warmup,100.0,52.078
2020-08-06 18:52:34.019280,warmup,100.0,53.154
2020-08-06 18:52:35.021384,warmup,100.0,53.692
2020-08-06 18:52:36.023470,warmup,100.0,54.23
2020-08-06 18:52:37.025559,warmup,100.0,54.768
2020-08-06 18:52:38.027148,warmup,100.0,55.306
2020-08-06 18:52:39.029248,warmup,100.0,55.844
2020-08-06 18:52:40.031328,warmup,100.0,55.844
2020-08-06 18:52:41.033407,warmup,100.0,56.92
2020-08-06 18:52:42.035502,warmup,100.0,56.382
2020-08-06 18:52:43.037160,warmup,100.0,57.458
2020-08-06 18:52:44.039283,warmup,100.0,57.996
2020-08-06 18:52:45.041377,warmup,100.0,57.996
2020-08-06 18:52:46.043525,warmup,100.0,58.534
2020-08-06 18:52:47.045743,warmup,100.0,58.534
2020-08-06 18:52:48.047163,warmup,100.0,57.996
2020-08-06 18:52:49.049244,warmup,100.0,58.534
2020-08-06 18:52:50.051337,warmup,100.0,58.534
2020-08-06 18:52:51.053430,warmup,100.0,59.072
2020-08-06 18:52:52.055596,warmup,100.0,60.148
2020-08-06 18:52:53.057167,warmup,100.0,59.072
2020-08-06 18:52:54.059280,warmup,100.0,60.148
2020-08-06 18:52:55.061377,warmup,100.0,60.686
2020-08-06 18:52:56.063477,warmup,100.0,61.224
2020-08-06 18:52:57.065607,warmup,100.0,60.686
2020-08-06 18:52:58.067177,warmup,100.0,61.224
2020-08-06 18:52:59.069266,warmup,100.0,61.224
2020-08-06 18:53:00.071450,warmup,100.0,61.224
2020-08-06 18:53:01.073676,warmup,94.5,61.224
2020-08-06 18:53:02.080650,warmup,98.8,61.762
2020-08-06 18:53:03.082875,warmup,100.0,62.3
2020-08-06 18:53:04.084986,warmup,100.0,62.3
2020-08-06 18:53:05.087099,warmup,100.0,62.3
2020-08-06 18:53:06.089201,warmup,100.0,62.838
2020-08-06 18:53:07.091288,warmup,100.0,62.3
2020-08-06 18:53:08.093391,warmup,100.0,62.838
2020-08-06 18:53:09.095493,warmup,100.0,63.376
2020-08-06 18:53:10.097156,warmup,100.0,63.376
2020-08-06 18:53:11.099254,warmup,100.0,63.376
2020-08-06 18:53:12.101352,warmup,100.0,63.376
2020-08-06 18:53:13.103428,warmup,100.0,64.452
2020-08-06 18:53:14.105516,warmup,100.0,63.914
2020-08-06 18:53:15.107169,warmup,100.0,63.914
2020-08-06 18:53:16.109263,warmup,100.0,64.452
2020-08-06 18:53:17.111358,warmup,100.0,64.452
2020-08-06 18:53:18.113455,warmup,100.0,64.452
2020-08-06 18:53:19.115566,warmup,100.0,64.99
2020-08-06 18:53:20.117158,warmup,100.0,64.99
2020-08-06 18:53:21.119279,warmup,100.0,64.99
2020-08-06 18:53:22.121364,warmup,100.0,64.99
2020-08-06 18:53:23.123458,warmup,100.0,64.99
2020-08-06 18:53:24.125569,warmup,100.0,66.604
2020-08-06 18:53:25.127170,warmup,100.0,65.528
2020-08-06 18:53:26.129266,warmup,100.0,65.528
2020-08-06 18:53:27.131370,warmup,100.0,66.604
2020-08-06 18:53:28.133461,warmup,100.0,66.604
2020-08-06 18:53:29.135526,warmup,100.0,66.604
2020-08-06 18:53:30.137172,warmup,100.0,66.604
2020-08-06 18:53:31.139391,warmup,94.2,66.604
2020-08-06 18:53:32.146316,warmup,98.0,66.604
2020-08-06 18:53:33.148616,warmup,100.0,67.142
2020-08-06 18:53:34.150717,warmup,100.0,67.142
2020-08-06 18:53:35.152827,warmup,100.0,67.142
2020-08-06 18:53:36.154923,warmup,100.0,66.604
2020-08-06 18:53:37.157025,warmup,100.0,67.142
2020-08-06 18:53:38.159127,warmup,100.0,67.68
2020-08-06 18:53:39.161282,warmup,100.0,67.142
2020-08-06 18:53:40.163377,warmup,100.0,67.68
2020-08-06 18:53:41.165478,warmup,100.0,68.218
2020-08-06 18:53:42.167156,warmup,100.0,67.68
2020-08-06 18:53:43.169258,warmup,100.0,68.218
2020-08-06 18:53:44.171423,warmup,100.0,68.756
2020-08-06 18:53:45.173578,warmup,100.0,68.218
2020-08-06 18:53:46.175770,warmup,100.0,68.756
2020-08-06 18:53:47.177264,warmup,100.0,68.756
2020-08-06 18:53:48.179388,warmup,100.0,68.756
2020-08-06 18:53:49.181488,warmup,100.0,68.756
2020-08-06 18:53:50.183578,warmup,100.0,69.294
2020-08-06 18:53:51.185675,warmup,100.0,69.294
2020-08-06 18:53:52.187233,warmup,100.0,69.294
2020-08-06 18:53:53.189345,warmup,100.0,68.756
2020-08-06 18:53:54.191492,warmup,100.0,69.294
2020-08-06 18:53:55.193610,warmup,100.0,68.756
2020-08-06 18:53:56.195696,warmup,100.0,69.832
2020-08-06 18:53:57.197205,warmup,100.0,69.832
2020-08-06 18:53:58.199297,warmup,100.0,69.832
2020-08-06 18:53:59.201396,warmup,100.0,69.832
2020-08-06 18:54:00.203507,warmup,100.0,69.832
2020-08-06 18:54:01.205745,warmup,94.3,69.832
2020-08-06 18:54:02.212670,warmup,98.5,69.294
2020-08-06 18:54:03.214904,warmup,100.0,69.832
2020-08-06 18:54:04.217052,warmup,100.0,70.37
2020-08-06 18:54:05.219173,warmup,100.0,70.908
2020-08-06 18:54:06.221280,warmup,100.0,70.37
2020-08-06 18:54:07.223381,warmup,100.0,70.908
2020-08-06 18:54:08.225483,warmup,100.0,70.908
2020-08-06 18:54:09.227156,warmup,100.0,70.908
2020-08-06 18:54:10.229255,warmup,100.0,70.908
2020-08-06 18:54:11.231372,warmup,100.0,70.908
2020-08-06 18:54:12.233473,warmup,100.0,70.908
2020-08-06 18:54:13.235570,warmup,100.0,70.908
2020-08-06 18:54:14.237169,warmup,100.0,71.446
2020-08-06 18:54:15.239285,warmup,100.0,70.908
2020-08-06 18:54:16.241397,warmup,100.0,71.446
