datetime,obs_type,usage,temp
2020-08-08 13:51:15.791635,cooldown,0.5,37.552
2020-08-08 13:51:16.794690,cooldown,0.2,37.552
2020-08-08 13:51:17.797574,cooldown,0.0,37.014
2020-08-08 13:51:18.800390,cooldown,0.0,37.552
2020-08-08 13:51:19.803171,cooldown,0.0,37.552
2020-08-08 13:51:20.805965,cooldown,0.0,37.552
2020-08-08 13:51:21.808887,cooldown,1.3,37.014
2020-08-08 13:51:22.811793,cooldown,0.0,37.014
2020-08-08 13:51:23.814770,cooldown,0.5,37.552
2020-08-08 13:51:24.817536,cooldown,0.0,37.014
2020-08-08 13:51:25.820271,cooldown,0.0,37.014
2020-08-08 13:51:26.823055,cooldown,0.0,37.552
2020-08-08 13:51:27.825822,cooldown,0.0,37.552
2020-08-08 13:51:28.828660,cooldown,0.0,37.552
2020-08-08 13:51:29.831457,cooldown,0.0,37.552
2020-08-08 13:51:30.834340,cooldown,0.2,37.552
2020-08-08 13:51:31.837205,cooldown,0.0,37.014
2020-08-08 13:51:32.840090,cooldown,0.2,37.552
2020-08-08 13:51:33.842922,cooldown,0.2,37.014
2020-08-08 13:51:34.845710,cooldown,0.0,37.552
2020-08-08 13:51:35.848483,cooldown,0.2,37.552
2020-08-08 13:51:36.851245,cooldown,0.0,37.014
2020-08-08 13:51:37.854137,cooldown,0.2,37.014
2020-08-08 13:51:38.856967,cooldown,0.0,37.014
2020-08-08 13:51:39.859750,cooldown,0.0,37.552
2020-08-08 13:51:40.862571,cooldown,0.5,37.552
2020-08-08 13:51:41.865345,cooldown,0.0,37.552
2020-08-08 13:51:42.868110,cooldown,0.0,37.014
2020-08-08 13:51:43.870920,cooldown,0.0,37.552
2020-08-08 13:51:44.873717,cooldown,0.0,37.014
2020-08-08 13:51:45.876693,cooldown,0.0,37.014
2020-08-08 13:51:46.879511,cooldown,0.0,37.552
2020-08-08 13:51:47.882375,cooldown,0.2,36.476
2020-08-08 13:51:48.885224,cooldown,0.2,37.552
2020-08-08 13:51:49.888013,cooldown,0.2,37.014
2020-08-08 13:51:50.890838,cooldown,0.0,37.014
2020-08-08 13:51:51.893748,cooldown,1.5,36.476
2020-08-08 13:51:52.896628,cooldown,0.0,37.014
2020-08-08 13:51:53.899506,cooldown,0.0,37.552
2020-08-08 13:51:54.902386,cooldown,0.2,37.552
2020-08-08 13:51:55.905202,cooldown,0.0,37.552
2020-08-08 13:51:56.907958,cooldown,0.0,37.552
2020-08-08 13:51:57.910754,cooldown,0.0,37.552
2020-08-08 13:51:58.913557,cooldown,0.2,37.014
2020-08-08 13:51:59.916356,cooldown,0.0,37.552
2020-08-08 13:52:00.919147,cooldown,0.0,37.552
2020-08-08 13:52:01.922081,cooldown,1.0,37.552
2020-08-08 13:52:02.925001,cooldown,0.2,37.552
2020-08-08 13:52:03.927759,cooldown,0.0,37.014
2020-08-08 13:52:04.930557,cooldown,0.0,37.014
2020-08-08 13:52:05.933323,cooldown,0.0,37.552
2020-08-08 13:52:06.936066,cooldown,0.0,37.552
2020-08-08 13:52:07.938990,cooldown,0.8,37.552
2020-08-08 13:52:08.941834,cooldown,0.0,37.552
2020-08-08 13:52:09.944787,cooldown,0.5,38.09
2020-08-08 13:52:10.947587,cooldown,0.0,37.014
2020-08-08 13:52:11.950364,cooldown,0.0,37.552
2020-08-08 13:52:12.953146,cooldown,0.0,37.552
2020-08-08 13:52:13.956032,cooldown,0.0,37.552
2020-08-08 13:52:14.958879,cooldown,0.0,37.552
2020-08-08 13:52:15.961884,cooldown,0.5,37.552
2020-08-08 13:52:16.964781,cooldown,0.0,37.552
2020-08-08 13:52:17.967597,cooldown,0.0,37.552
2020-08-08 13:52:18.970382,cooldown,0.0,37.552
2020-08-08 13:52:19.973209,cooldown,0.2,37.552
2020-08-08 13:52:20.976073,cooldown,1.5,37.552
2020-08-08 13:52:21.978939,cooldown,0.0,37.552
2020-08-08 13:52:22.981802,cooldown,0.0,37.014
2020-08-08 13:52:23.984765,cooldown,0.7,37.552
2020-08-08 13:52:24.987596,cooldown,0.0,37.552
2020-08-08 13:52:25.990431,cooldown,0.0,38.09
2020-08-08 13:52:26.993232,cooldown,0.0,37.552
2020-08-08 13:52:27.996004,cooldown,0.0,37.552
2020-08-08 13:52:28.998837,cooldown,0.0,37.014
2020-08-08 13:52:30.001617,cooldown,0.0,37.552
2020-08-08 13:52:31.004476,cooldown,0.5,38.09
2020-08-08 13:52:32.007358,cooldown,0.0,37.552
2020-08-08 13:52:33.010181,cooldown,0.0,37.552
2020-08-08 13:52:34.012965,cooldown,0.0,37.552
2020-08-08 13:52:35.015770,cooldown,0.0,37.552
2020-08-08 13:52:36.018539,cooldown,0.0,37.552
2020-08-08 13:52:37.021428,cooldown,0.2,37.552
2020-08-08 13:52:38.024371,cooldown,0.2,37.552
2020-08-08 13:52:39.027158,cooldown,0.0,37.552
2020-08-08 13:52:40.029923,cooldown,0.0,37.014
2020-08-08 13:52:41.032754,cooldown,0.2,37.552
2020-08-08 13:52:42.035639,cooldown,0.0,37.552
2020-08-08 13:52:43.038473,cooldown,0.0,37.552
2020-08-08 13:52:44.041272,cooldown,0.0,37.552
2020-08-08 13:52:45.044155,cooldown,0.2,37.552
2020-08-08 13:52:45.045088,min,,36.476
2020-08-08 13:52:46.062057,warmup,96.8,40.78
2020-08-08 13:52:47.064351,warmup,100.0,42.932
2020-08-08 13:52:48.066474,warmup,100.0,44.008
2020-08-08 13:52:49.068591,warmup,100.0,45.084
2020-08-08 13:52:50.070668,warmup,100.0,45.622
2020-08-08 13:52:51.072693,warmup,100.0,45.622
2020-08-08 13:52:52.074856,warmup,100.0,46.16
2020-08-08 13:52:53.076982,warmup,100.0,46.698
2020-08-08 13:52:54.079078,warmup,100.0,47.236
2020-08-08 13:52:55.081148,warmup,100.0,47.774
2020-08-08 13:52:56.082632,warmup,100.0,48.312
2020-08-08 13:52:57.084713,warmup,100.0,47.774
2020-08-08 13:52:58.086794,warmup,100.0,48.312
2020-08-08 13:52:59.088873,warmup,100.0,48.312
2020-08-08 13:53:00.090952,warmup,100.0,48.85
2020-08-08 13:53:01.092730,warmup,100.0,49.388
2020-08-08 13:53:02.094828,warmup,100.0,49.388
2020-08-08 13:53:03.096898,warmup,100.0,49.388
2020-08-08 13:53:04.099015,warmup,100.0,49.388
2020-08-08 13:53:05.101088,warmup,100.0,49.388
2020-08-08 13:53:06.102630,warmup,100.0,50.464
2020-08-08 13:53:07.104767,warmup,100.0,50.464
2020-08-08 13:53:08.106968,warmup,100.0,51.002
2020-08-08 13:53:09.109064,warmup,100.0,50.464
2020-08-08 13:53:10.111149,warmup,100.0,50.464
2020-08-08 13:53:11.112616,warmup,100.0,51.54
2020-08-08 13:53:12.114704,warmup,100.0,51.54
2020-08-08 13:53:13.116831,warmup,100.0,51.54
2020-08-08 13:53:14.118941,warmup,100.0,51.54
2020-08-08 13:53:15.121121,warmup,94.5,52.078
2020-08-08 13:53:16.128066,warmup,97.8,52.078
2020-08-08 13:53:17.130295,warmup,100.0,52.078
2020-08-08 13:53:18.132390,warmup,100.0,52.078
2020-08-08 13:53:19.134488,warmup,100.0,52.616
2020-08-08 13:53:20.136551,warmup,100.0,52.616
2020-08-08 13:53:21.138707,warmup,100.0,52.616
2020-08-08 13:53:22.140882,warmup,100.0,52.616
2020-08-08 13:53:23.142674,warmup,100.0,53.154
2020-08-08 13:53:24.144763,warmup,100.0,53.154
2020-08-08 13:53:25.146852,warmup,100.0,52.616
2020-08-08 13:53:26.148921,warmup,100.0,53.692
2020-08-08 13:53:27.150990,warmup,100.0,53.692
2020-08-08 13:53:28.152615,warmup,100.0,53.692
2020-08-08 13:53:29.154705,warmup,100.0,53.692
2020-08-08 13:53:30.156773,warmup,100.0,53.692
2020-08-08 13:53:31.158880,warmup,100.0,54.768
2020-08-08 13:53:32.160971,warmup,100.0,53.692
2020-08-08 13:53:33.162641,warmup,100.0,54.23
2020-08-08 13:53:34.164704,warmup,100.0,53.692
2020-08-08 13:53:35.166808,warmup,100.0,54.768
2020-08-08 13:53:36.168885,warmup,100.0,54.768
2020-08-08 13:53:37.170980,warmup,100.0,54.768
2020-08-08 13:53:38.172615,warmup,100.0,54.768
2020-08-08 13:53:39.174752,warmup,100.0,54.768
2020-08-08 13:53:40.176835,warmup,100.0,54.768
2020-08-08 13:53:41.178924,warmup,100.0,54.23
2020-08-08 13:53:42.181000,warmup,100.0,54.768
2020-08-08 13:53:43.182631,warmup,100.0,55.306
2020-08-08 13:53:44.184774,warmup,100.0,55.306
2020-08-08 13:53:45.187000,warmup,94.2,54.768
2020-08-08 13:53:46.193999,warmup,98.8,54.768
2020-08-08 13:53:47.196234,warmup,100.0,55.306
2020-08-08 13:53:48.198325,warmup,100.0,55.306
2020-08-08 13:53:49.200413,warmup,100.0,55.306
2020-08-08 13:53:50.202514,warmup,100.0,56.382
2020-08-08 13:53:51.204749,warmup,100.0,55.844
2020-08-08 13:53:52.207769,warmup,100.0,55.844
2020-08-08 13:53:53.209915,warmup,100.0,55.306
2020-08-08 13:53:54.212023,warmup,100.0,56.382
2020-08-08 13:53:55.214139,warmup,100.0,55.844
2020-08-08 13:53:56.216221,warmup,100.0,55.844
2020-08-08 13:53:57.218319,warmup,100.0,55.844
2020-08-08 13:53:58.220393,warmup,100.0,55.844
2020-08-08 13:53:59.222506,warmup,100.0,56.382
2020-08-08 13:54:00.224561,warmup,100.0,56.382
2020-08-08 13:54:01.226741,warmup,100.0,55.844
2020-08-08 13:54:02.228844,warmup,100.0,56.382
2020-08-08 13:54:03.230921,warmup,100.0,56.382
2020-08-08 13:54:04.232634,warmup,100.0,56.92
2020-08-08 13:54:05.234716,warmup,100.0,56.382
2020-08-08 13:54:06.237092,warmup,100.0,56.92
2020-08-08 13:54:07.239256,warmup,100.0,56.382
2020-08-08 13:54:08.241462,warmup,100.0,56.382
2020-08-08 13:54:09.242642,warmup,100.0,56.92
2020-08-08 13:54:10.244744,warmup,100.0,56.382
2020-08-08 13:54:11.246889,warmup,100.0,56.92
2020-08-08 13:54:12.249011,warmup,100.0,56.92
2020-08-08 13:54:13.251117,warmup,100.0,56.92
2020-08-08 13:54:14.252631,warmup,100.0,56.92
2020-08-08 13:54:15.254830,warmup,94.0,56.92
2020-08-08 13:54:16.261617,warmup,98.2,56.92
2020-08-08 13:54:17.263902,warmup,100.0,56.92
2020-08-08 13:54:18.266005,warmup,100.0,56.92
2020-08-08 13:54:19.268115,warmup,100.0,57.458
2020-08-08 13:54:20.270208,warmup,100.0,57.458
2020-08-08 13:54:21.272410,warmup,100.0,56.92
2020-08-08 13:54:22.274588,warmup,100.0,56.382
2020-08-08 13:54:23.276753,warmup,100.0,57.458
2020-08-08 13:54:24.278864,warmup,100.0,57.458
2020-08-08 13:54:25.280948,warmup,100.0,56.92
2020-08-08 13:54:26.282633,warmup,100.0,57.458
2020-08-08 13:54:27.284708,warmup,100.0,56.92
2020-08-08 13:54:28.286796,warmup,100.0,57.996
2020-08-08 13:54:29.288904,warmup,100.0,57.996
2020-08-08 13:54:30.291021,warmup,100.0,56.92
2020-08-08 13:54:31.292680,warmup,100.0,57.996
2020-08-08 13:54:32.294798,warmup,100.0,57.996
2020-08-08 13:54:33.296945,warmup,100.0,57.996
2020-08-08 13:54:34.299053,warmup,100.0,57.996
2020-08-08 13:54:35.301157,warmup,100.0,57.996
2020-08-08 13:54:36.302703,warmup,100.0,57.996
2020-08-08 13:54:37.304823,warmup,100.0,57.996
2020-08-08 13:54:38.306914,warmup,100.0,57.996
2020-08-08 13:54:39.309024,warmup,100.0,57.458
2020-08-08 13:54:40.311117,warmup,100.0,57.996
2020-08-08 13:54:41.312701,warmup,100.0,57.996
2020-08-08 13:54:42.314847,warmup,100.0,57.996
2020-08-08 13:54:43.316930,warmup,100.0,57.996
2020-08-08 13:54:44.319029,warmup,100.0,58.534
2020-08-08 13:54:45.321223,warmup,94.0,57.996
2020-08-08 13:54:46.328066,warmup,98.8,57.996
2020-08-08 13:54:47.330341,warmup,100.0,57.996
2020-08-08 13:54:48.332464,warmup,100.0,57.996
2020-08-08 13:54:49.334573,warmup,100.0,57.996
2020-08-08 13:54:50.336750,warmup,100.0,57.996
2020-08-08 13:54:51.338946,warmup,100.0,58.534
2020-08-08 13:54:52.341138,warmup,100.0,58.534
2020-08-08 13:54:53.342678,warmup,100.0,58.534
2020-08-08 13:54:54.344776,warmup,100.0,58.534
2020-08-08 13:54:55.346868,warmup,100.0,58.534
2020-08-08 13:54:56.348943,warmup,100.0,58.534
2020-08-08 13:54:57.351068,warmup,100.0,57.996
2020-08-08 13:54:58.352657,warmup,100.0,58.534
2020-08-08 13:54:59.354789,warmup,100.0,58.534
2020-08-08 13:55:00.356922,warmup,100.0,59.072
2020-08-08 13:55:01.359121,warmup,100.0,57.996
2020-08-08 13:55:02.361273,warmup,100.0,59.072
2020-08-08 13:55:03.362632,warmup,100.0,59.072
2020-08-08 13:55:04.364742,warmup,100.0,58.534
2020-08-08 13:55:05.366860,warmup,100.0,58.534
2020-08-08 13:55:06.368969,warmup,100.0,58.534
2020-08-08 13:55:07.371153,warmup,100.0,59.072
2020-08-08 13:55:08.372723,warmup,100.0,58.534
2020-08-08 13:55:09.374867,warmup,100.0,58.534
2020-08-08 13:55:10.376966,warmup,100.0,59.072
2020-08-08 13:55:11.379049,warmup,100.0,59.072
2020-08-08 13:55:12.381149,warmup,100.0,59.072
2020-08-08 13:55:13.382638,warmup,100.0,58.534
2020-08-08 13:55:14.384794,warmup,100.0,58.534
2020-08-08 13:55:15.387037,warmup,94.0,59.072
2020-08-08 13:55:16.392943,warmup,98.3,59.072
2020-08-08 13:55:17.395196,warmup,100.0,59.072
2020-08-08 13:55:18.397302,warmup,100.0,59.072
2020-08-08 13:55:19.399430,warmup,100.0,59.072
2020-08-08 13:55:20.401533,warmup,100.0,59.072
2020-08-08 13:55:21.403849,warmup,100.0,59.072
2020-08-08 13:55:22.406030,warmup,100.0,59.072
2020-08-08 13:55:23.408197,warmup,100.0,58.534
2020-08-08 13:55:24.410288,warmup,100.0,59.072
2020-08-08 13:55:25.412420,warmup,100.0,59.072
2020-08-08 13:55:26.414523,warmup,100.0,59.072
2020-08-08 13:55:27.416641,warmup,100.0,59.072
2020-08-08 13:55:28.418745,warmup,100.0,59.61
2020-08-08 13:55:29.420879,warmup,100.0,59.072
2020-08-08 13:55:30.422620,warmup,100.0,59.072
2020-08-08 13:55:31.424754,warmup,100.0,59.072
2020-08-08 13:55:32.426864,warmup,100.0,59.072
2020-08-08 13:55:33.428996,warmup,100.0,59.072
2020-08-08 13:55:34.431125,warmup,100.0,59.61
2020-08-08 13:55:35.432627,warmup,100.0,59.072
2020-08-08 13:55:36.434750,warmup,100.0,59.072
2020-08-08 13:55:37.436849,warmup,100.0,59.072
2020-08-08 13:55:38.438960,warmup,100.0,59.072
2020-08-08 13:55:39.441091,warmup,100.0,59.072
2020-08-08 13:55:40.442629,warmup,100.0,59.072
2020-08-08 13:55:41.444771,warmup,100.0,59.072
2020-08-08 13:55:42.446908,warmup,100.0,59.61
2020-08-08 13:55:43.449014,warmup,100.0,59.072
2020-08-08 13:55:44.451130,warmup,100.0,59.072
2020-08-08 13:55:45.453347,warmup,94.1,59.61
2020-08-08 13:55:46.460140,warmup,98.3,59.61
2020-08-08 13:55:47.462443,warmup,100.0,59.072
2020-08-08 13:55:48.464559,warmup,100.0,59.61
2020-08-08 13:55:49.466668,warmup,100.0,59.072
2020-08-08 13:55:50.468787,warmup,100.0,59.072
2020-08-08 13:55:51.470962,warmup,100.0,59.072
2020-08-08 13:55:52.472674,warmup,100.0,60.148
2020-08-08 13:55:53.474871,warmup,100.0,59.072
2020-08-08 13:55:54.477009,warmup,100.0,60.148
2020-08-08 13:55:55.479112,warmup,100.0,59.61
2020-08-08 13:55:56.481244,warmup,100.0,60.148
2020-08-08 13:55:57.482627,warmup,100.0,59.072
2020-08-08 13:55:58.484745,warmup,100.0,60.148
2020-08-08 13:55:59.486863,warmup,100.0,60.148
2020-08-08 13:56:00.488989,warmup,100.0,60.148
2020-08-08 13:56:01.491197,warmup,100.0,60.148
2020-08-08 13:56:02.492650,warmup,100.0,59.072
2020-08-08 13:56:03.494752,warmup,100.0,59.61
2020-08-08 13:56:04.496896,warmup,100.0,60.148
2020-08-08 13:56:05.499039,warmup,100.0,59.61
2020-08-08 13:56:06.501130,warmup,100.0,59.61
2020-08-08 13:56:07.502715,warmup,100.0,59.61
2020-08-08 13:56:08.504932,warmup,100.0,60.148
2020-08-08 13:56:09.507098,warmup,100.0,60.148
2020-08-08 13:56:10.509258,warmup,100.0,59.072
2020-08-08 13:56:11.511370,warmup,100.0,60.148
2020-08-08 13:56:12.512619,warmup,100.0,60.686
2020-08-08 13:56:13.514736,warmup,100.0,60.148
2020-08-08 13:56:14.516901,warmup,100.0,59.61
2020-08-08 13:56:15.519126,warmup,94.2,59.61
2020-08-08 13:56:16.526048,warmup,98.3,59.072
2020-08-08 13:56:17.528288,warmup,100.0,60.148
2020-08-08 13:56:18.530413,warmup,100.0,59.072
2020-08-08 13:56:19.532554,warmup,100.0,59.072
2020-08-08 13:56:20.534666,warmup,100.0,60.148
2020-08-08 13:56:21.536867,warmup,100.0,60.148
2020-08-08 13:56:22.539052,warmup,100.0,59.61
2020-08-08 13:56:23.541235,warmup,100.0,60.148
2020-08-08 13:56:24.542628,warmup,100.0,59.61
2020-08-08 13:56:25.544748,warmup,100.0,60.148
2020-08-08 13:56:26.546849,warmup,100.0,60.148
2020-08-08 13:56:27.548962,warmup,100.0,60.148
2020-08-08 13:56:28.551085,warmup,100.0,59.072
2020-08-08 13:56:29.552646,warmup,100.0,60.148
2020-08-08 13:56:30.554755,warmup,100.0,59.61
2020-08-08 13:56:31.556922,warmup,100.0,60.148
2020-08-08 13:56:32.559043,warmup,100.0,60.148
2020-08-08 13:56:33.561172,warmup,100.0,60.148
2020-08-08 13:56:34.562624,warmup,100.0,59.61
2020-08-08 13:56:35.564739,warmup,100.0,59.61
2020-08-08 13:56:36.566837,warmup,100.0,60.148
2020-08-08 13:56:37.568940,warmup,100.0,60.148
2020-08-08 13:56:38.571097,warmup,100.0,60.148
2020-08-08 13:56:39.572626,warmup,100.0,60.686
2020-08-08 13:56:40.574755,warmup,100.0,60.148
2020-08-08 13:56:41.576869,warmup,100.0,60.148
2020-08-08 13:56:42.578987,warmup,100.0,60.148
2020-08-08 13:56:43.581103,warmup,100.0,60.686
2020-08-08 13:56:44.582673,warmup,100.0,60.148
2020-08-08 13:56:45.584899,warmup,94.2,60.148
2020-08-08 13:56:45.585644,max,,60.686
2020-08-08 13:56:46.587795,cooldown,0.0,56.92
2020-08-08 13:56:47.590580,cooldown,0.0,55.306
2020-08-08 13:56:48.593436,cooldown,0.0,53.692
2020-08-08 13:56:49.596231,cooldown,0.0,53.154
2020-08-08 13:56:50.599045,cooldown,0.0,52.078
2020-08-08 13:56:51.601925,cooldown,2.0,51.54
2020-08-08 13:56:52.604889,cooldown,0.0,51.54
2020-08-08 13:56:53.607723,cooldown,0.0,50.464
2020-08-08 13:56:54.610576,cooldown,0.0,51.002
2020-08-08 13:56:55.613391,cooldown,0.0,50.464
2020-08-08 13:56:56.616203,cooldown,0.0,49.926
2020-08-08 13:56:57.619427,cooldown,0.0,49.388
2020-08-08 13:56:58.622352,cooldown,0.2,49.388
2020-08-08 13:56:59.625184,cooldown,0.0,48.85
2020-08-08 13:57:00.627970,cooldown,0.0,48.85
2020-08-08 13:57:01.630850,cooldown,0.5,48.312
2020-08-08 13:57:02.633722,cooldown,0.0,48.312
2020-08-08 13:57:03.636512,cooldown,0.0,48.312
2020-08-08 13:57:04.639301,cooldown,0.0,48.312
2020-08-08 13:57:05.642077,cooldown,0.5,47.774
2020-08-08 13:57:06.644964,cooldown,0.0,47.236
2020-08-08 13:57:07.647799,cooldown,0.0,47.236
2020-08-08 13:57:08.650726,cooldown,0.7,47.236
2020-08-08 13:57:09.653568,cooldown,0.0,46.698
2020-08-08 13:57:10.656345,cooldown,0.0,46.698
2020-08-08 13:57:11.659142,cooldown,0.0,47.236
2020-08-08 13:57:12.661943,cooldown,0.5,46.16
2020-08-08 13:57:13.664848,cooldown,0.2,45.622
2020-08-08 13:57:14.667724,cooldown,0.0,45.622
2020-08-08 13:57:15.670515,cooldown,0.0,46.16
2020-08-08 13:57:16.673467,cooldown,0.0,45.622
2020-08-08 13:57:17.676274,cooldown,0.0,45.622
2020-08-08 13:57:18.679072,cooldown,0.0,45.622
2020-08-08 13:57:19.681873,cooldown,0.5,45.622
2020-08-08 13:57:20.684746,cooldown,0.0,45.084
2020-08-08 13:57:21.687632,cooldown,1.3,45.084
2020-08-08 13:57:22.690528,cooldown,0.0,45.084
2020-08-08 13:57:23.693401,cooldown,0.0,45.084
2020-08-08 13:57:24.696197,cooldown,0.0,45.084
2020-08-08 13:57:25.698998,cooldown,0.0,45.084
2020-08-08 13:57:26.701801,cooldown,0.0,44.546
2020-08-08 13:57:27.704732,cooldown,0.5,44.008
2020-08-08 13:57:28.707603,cooldown,0.0,44.008
2020-08-08 13:57:29.710381,cooldown,0.0,44.008
2020-08-08 13:57:30.713208,cooldown,0.0,44.008
2020-08-08 13:57:31.716065,cooldown,0.0,43.47
2020-08-08 13:57:32.718906,cooldown,0.0,44.008
2020-08-08 13:57:33.721775,cooldown,0.0,44.008
2020-08-08 13:57:34.724668,cooldown,0.5,43.47
2020-08-08 13:57:35.727489,cooldown,0.0,42.932
2020-08-08 13:57:36.730284,cooldown,0.0,43.47
2020-08-08 13:57:37.733026,cooldown,0.0,43.47
2020-08-08 13:57:38.735815,cooldown,0.0,43.47
2020-08-08 13:57:39.738585,cooldown,0.0,42.932
2020-08-08 13:57:40.741392,cooldown,0.0,42.932
2020-08-08 13:57:41.744248,cooldown,0.2,42.932
2020-08-08 13:57:42.747077,cooldown,0.0,42.932
2020-08-08 13:57:43.749860,cooldown,0.0,42.932
2020-08-08 13:57:44.752708,cooldown,0.2,42.932
2020-08-08 13:57:45.755572,cooldown,0.0,42.932
2020-08-08 13:57:46.758557,cooldown,0.0,42.932
2020-08-08 13:57:47.761342,cooldown,0.2,42.932
2020-08-08 13:57:48.764288,cooldown,0.2,42.932
2020-08-08 13:57:49.767081,cooldown,0.0,41.856
2020-08-08 13:57:50.769896,cooldown,0.0,42.394
2020-08-08 13:57:51.772858,cooldown,1.5,41.856
2020-08-08 13:57:52.775759,cooldown,0.0,42.932
2020-08-08 13:57:53.778660,cooldown,0.0,41.318
2020-08-08 13:57:54.781477,cooldown,0.0,41.856
2020-08-08 13:57:55.784399,cooldown,0.2,42.394
2020-08-08 13:57:56.787240,cooldown,0.0,41.856
2020-08-08 13:57:57.790041,cooldown,0.0,41.856
2020-08-08 13:57:58.792907,cooldown,0.2,41.856
2020-08-08 13:57:59.795738,cooldown,0.2,41.856
2020-08-08 13:58:00.798553,cooldown,0.0,41.318
2020-08-08 13:58:01.801417,cooldown,0.7,41.318
2020-08-08 13:58:02.804321,cooldown,0.2,41.318
2020-08-08 13:58:03.807133,cooldown,0.2,41.318
2020-08-08 13:58:04.809965,cooldown,0.0,41.318
2020-08-08 13:58:05.812846,cooldown,0.2,41.856
2020-08-08 13:58:06.815635,cooldown,0.0,41.318
2020-08-08 13:58:07.818599,cooldown,0.8,41.856
2020-08-08 13:58:08.821443,cooldown,0.0,41.318
2020-08-08 13:58:09.824360,cooldown,0.2,41.318
2020-08-08 13:58:10.827186,cooldown,0.0,41.318
2020-08-08 13:58:11.829975,cooldown,0.0,40.78
2020-08-08 13:58:12.832826,cooldown,0.2,40.78
2020-08-08 13:58:13.835657,cooldown,0.2,41.318
2020-08-08 13:58:14.838559,cooldown,0.0,41.318
