datetime,usage,temp,stress
2020-07-29 18:07:04.789810,86.9,58.534,4
2020-07-29 18:07:05.792370,100.0,59.61,4
2020-07-29 18:07:06.794453,100.0,61.224,4
2020-07-29 18:07:07.796373,100.0,61.224,4
2020-07-29 18:07:08.798313,100.0,62.3,4
2020-07-29 18:07:09.800263,100.0,62.3,4
2020-07-29 18:07:10.802348,100.0,62.838,4
2020-07-29 18:07:11.804281,100.0,63.376,4
2020-07-29 18:07:12.806271,100.0,64.452,4
2020-07-29 18:07:13.808185,100.0,64.452,4
2020-07-29 18:07:14.810148,100.0,64.452,4
2020-07-29 18:07:15.812164,100.0,64.99,4
2020-07-29 18:07:16.814066,100.0,65.528,4
2020-07-29 18:07:17.815063,100.0,65.528,4
2020-07-29 18:07:18.816829,97.5,66.604,4
2020-07-29 18:07:19.824406,51.7,64.99,2
2020-07-29 18:07:20.826904,50.4,64.452,2
2020-07-29 18:07:21.828913,50.0,64.452,2
2020-07-29 18:07:22.830834,50.1,64.452,2
2020-07-29 18:07:23.832777,50.0,64.452,2
2020-07-29 18:07:24.834794,50.1,64.452,2
2020-07-29 18:07:25.836763,50.4,64.452,2
2020-07-29 18:07:26.838721,50.0,64.452,2
2020-07-29 18:07:27.840749,50.1,64.99,2
2020-07-29 18:07:28.842684,50.0,64.452,2
2020-07-29 18:07:29.844692,50.1,64.452,2
2020-07-29 18:07:30.846776,50.4,64.452,2
2020-07-29 18:07:31.848822,50.1,64.99,2
2020-07-29 18:07:32.850762,50.0,64.99,2
2020-07-29 18:07:33.852728,50.1,64.452,2
2020-07-29 18:07:34.854702,50.0,65.528,2
2020-07-29 18:07:35.856726,49.0,65.528,2
2020-07-29 18:07:36.864123,99.0,66.604,4
2020-07-29 18:07:37.866614,100.0,66.604,4
2020-07-29 18:07:38.868570,100.0,67.68,4
2020-07-29 18:07:39.870528,100.0,67.68,4
2020-07-29 18:07:40.872495,100.0,68.218,4
2020-07-29 18:07:41.874550,100.0,68.756,4
2020-07-29 18:07:42.880548,98.5,68.756,4
2020-07-29 18:07:43.888424,75.4,68.756,3
2020-07-29 18:07:44.890882,75.0,68.756,3
2020-07-29 18:07:45.892886,75.0,68.756,3
2020-07-29 18:07:46.894841,74.7,69.294,3
2020-07-29 18:07:47.902128,51.0,68.218,2
2020-07-29 18:07:48.904562,50.0,67.68,2
2020-07-29 18:07:49.906603,50.4,67.68,2
2020-07-29 18:07:50.908577,50.1,67.68,2
2020-07-29 18:07:51.910552,49.9,67.68,2
2020-07-29 18:07:52.912608,50.1,67.68,2
2020-07-29 18:07:53.914557,50.0,66.604,2
2020-07-29 18:07:54.916569,50.5,66.604,2
2020-07-29 18:07:55.918505,50.0,66.604,2
2020-07-29 18:07:56.920485,50.7,66.604,2
2020-07-29 18:07:57.922631,50.0,67.142,2
2020-07-29 18:07:58.924691,49.9,66.604,2
2020-07-29 18:07:59.926799,50.9,67.68,2
2020-07-29 18:08:00.928939,50.0,67.142,2
2020-07-29 18:08:01.930935,50.1,66.604,2
2020-07-29 18:08:02.933075,50.0,67.142,2
2020-07-29 18:08:03.935058,50.2,67.142,2
2020-07-29 18:08:04.937046,50.0,67.142,2
2020-07-29 18:08:05.939037,48.3,67.142,2
2020-07-29 18:08:06.946422,3.2,66.066,0
2020-07-29 18:08:07.949744,0.0,65.528,0
2020-07-29 18:08:08.952470,0.0,64.452,0
2020-07-29 18:08:09.955100,0.0,63.914,0
2020-07-29 18:08:10.957752,0.0,63.376,0
2020-07-29 18:08:11.960323,0.0,63.376,0
2020-07-29 18:08:12.963016,0.0,62.838,0
2020-07-29 18:08:13.965562,0.0,62.838,0
2020-07-29 18:08:14.981862,52.0,64.99,2
2020-07-29 18:08:15.984326,50.0,64.99,2
2020-07-29 18:08:16.986393,50.4,65.528,2
2020-07-29 18:08:17.988378,50.0,66.604,2
2020-07-29 18:08:18.990345,50.1,66.604,2
2020-07-29 18:08:19.992279,50.0,66.604,2
2020-07-29 18:08:20.994259,50.0,66.604,2
2020-07-29 18:08:21.996273,50.5,66.604,2
2020-07-29 18:08:22.998190,50.0,66.604,2
2020-07-29 18:08:24.000175,50.1,67.68,2
2020-07-29 18:08:25.002134,50.0,67.68,2
2020-07-29 18:08:26.004090,50.1,66.604,2
2020-07-29 18:08:27.006066,49.1,67.68,2
2020-07-29 18:08:28.013476,3.0,65.528,0
2020-07-29 18:08:29.016955,0.2,64.452,0
2020-07-29 18:08:30.019738,0.0,63.376,0
2020-07-29 18:08:31.022527,0.0,63.376,0
2020-07-29 18:08:32.025257,0.0,62.3,0
2020-07-29 18:08:33.027886,0.0,62.838,0
2020-07-29 18:08:34.039624,98.5,65.528,4
2020-07-29 18:08:35.042079,100.0,66.604,4
2020-07-29 18:08:36.044055,100.0,67.68,4
2020-07-29 18:08:37.046189,99.8,68.756,4
2020-07-29 18:08:38.053357,75.0,67.68,3
