datetime,usage,temp,stress
2020-07-30 06:51:24.331875,84.3,49.388,4
2020-07-30 06:51:25.334418,100.0,50.464,4
2020-07-30 06:51:26.336428,100.0,51.54,4
2020-07-30 06:51:27.338385,100.0,51.54,4
2020-07-30 06:51:28.340379,99.2,52.616,4
2020-07-30 06:51:29.353344,0.0,50.464,0
2020-07-30 06:51:30.356735,0.0,49.388,0
2020-07-30 06:51:31.359624,0.3,48.312,0
2020-07-30 06:51:32.362282,0.0,47.774,0
2020-07-30 06:51:33.373504,49.8,49.388,2
2020-07-30 06:51:34.375961,50.0,50.464,2
2020-07-30 06:51:35.378079,51.1,50.464,2
2020-07-30 06:51:36.380251,50.5,51.002,2
2020-07-30 06:51:37.382422,49.7,51.54,2
2020-07-30 06:51:38.389440,98.5,53.154,4
2020-07-30 06:51:39.391897,100.0,53.692,4
2020-07-30 06:51:40.393858,100.0,54.23,4
2020-07-30 06:51:41.395828,100.0,54.768,4
2020-07-30 06:51:42.397289,100.0,55.306,4
2020-07-30 06:51:43.399224,100.0,55.844,4
2020-07-30 06:51:44.401082,100.0,55.844,4
2020-07-30 06:51:45.403049,100.0,56.382,4
2020-07-30 06:51:46.404989,100.0,56.92,4
2020-07-30 06:51:47.407015,100.0,56.92,4
2020-07-30 06:51:48.408977,100.0,57.996,4
2020-07-30 06:51:49.410961,98.0,57.996,4
2020-07-30 06:51:50.417335,74.4,56.92,3
2020-07-30 06:51:51.419793,74.8,56.92,3
2020-07-30 06:51:52.421738,75.0,56.92,3
2020-07-30 06:51:53.423692,75.0,56.92,3
2020-07-30 06:51:54.425624,75.0,56.92,3
2020-07-30 06:51:55.427288,75.2,56.92,3
2020-07-30 06:51:56.429263,74.1,56.92,3
2020-07-30 06:51:57.436361,49.6,56.92,2
2020-07-30 06:51:58.438906,50.2,56.92,2
2020-07-30 06:51:59.440948,50.1,56.92,2
2020-07-30 06:52:00.443044,49.9,56.92,2
2020-07-30 06:52:01.450185,98.5,57.996,4
2020-07-30 06:52:02.452595,100.0,58.534,4
2020-07-30 06:52:03.454621,99.8,59.61,4
2020-07-30 06:52:04.461744,74.2,59.072,3
2020-07-30 06:52:05.464202,75.0,58.534,3
2020-07-30 06:52:06.466235,75.0,58.534,3
2020-07-30 06:52:07.467288,75.2,58.534,3
2020-07-30 06:52:08.469233,75.0,57.996,3
2020-07-30 06:52:09.471177,74.8,59.61,3
2020-07-30 06:52:10.473169,75.2,59.61,3
2020-07-30 06:52:11.475302,75.0,59.072,3
2020-07-30 06:52:12.477288,75.2,59.072,3
2020-07-30 06:52:13.479238,75.2,60.148,3
2020-07-30 06:52:14.481237,73.7,60.148,3
2020-07-30 06:52:15.488277,0.2,57.996,0
2020-07-30 06:52:16.491703,0.0,56.92,0
2020-07-30 06:52:17.494499,0.0,55.844,0
2020-07-30 06:52:18.497177,0.2,54.768,0
2020-07-30 06:52:19.499877,0.0,54.768,0
2020-07-30 06:52:20.502529,0.0,54.768,0
2020-07-30 06:52:21.505155,0.0,54.23,0
2020-07-30 06:52:22.507948,0.0,53.692,0
2020-07-30 06:52:23.519399,74.3,55.844,3
2020-07-30 06:52:24.521868,75.1,56.92,3
2020-07-30 06:52:25.523869,74.8,57.996,3
2020-07-30 06:52:26.525852,75.0,58.534,3
2020-07-30 06:52:27.527287,75.2,58.534,3
2020-07-30 06:52:28.529219,75.0,58.534,3
2020-07-30 06:52:29.531171,74.3,59.61,3
2020-07-30 06:52:30.538512,50.0,58.534,2
2020-07-30 06:52:31.540966,49.9,57.996,2
2020-07-30 06:52:32.542998,49.9,57.996,2
2020-07-30 06:52:33.550236,0.5,56.92,0
2020-07-30 06:52:34.553700,0.0,55.844,0
2020-07-30 06:52:35.556438,0.5,54.768,0
2020-07-30 06:52:36.559475,1.0,54.768,0
2020-07-30 06:52:37.562355,0.0,54.23,0
2020-07-30 06:52:38.564997,0.0,54.768,0
2020-07-30 06:52:39.567609,10.4,55.844,0
2020-07-30 06:52:40.569873,3.5,54.768,0
2020-07-30 06:52:41.572826,23.6,55.844,0
2020-07-30 06:52:42.580322,66.9,56.382,2
2020-07-30 06:52:43.582787,49.9,56.382,2
2020-07-30 06:52:44.584822,50.0,56.92,2
2020-07-30 06:52:45.586823,49.9,56.92,2
2020-07-30 06:52:46.588859,50.2,57.996,2
2020-07-30 06:52:47.590990,50.0,58.534,2
2020-07-30 06:52:48.592927,50.0,57.996,2
2020-07-30 06:52:49.594923,50.0,57.996,2
2020-07-30 06:52:50.596874,49.9,58.534,2
2020-07-30 06:52:51.598895,50.4,58.534,2
2020-07-30 06:52:52.600941,50.0,57.996,2
2020-07-30 06:52:53.603005,50.0,58.534,2
2020-07-30 06:52:54.604973,50.0,59.072,2
2020-07-30 06:52:55.606987,49.9,58.534,2
2020-07-30 06:52:56.608974,50.4,59.072,2
2020-07-30 06:52:57.610968,50.0,59.072,2
2020-07-30 06:52:58.612920,50.0,59.072,2
2020-07-30 06:52:59.614974,48.4,59.072,2
2020-07-30 06:53:00.622033,1.5,57.458,0
2020-07-30 06:53:01.624578,0.5,56.382,0
2020-07-30 06:53:02.627461,0.0,55.844,0
