datetime,usage,temp,stress
2020-07-31 08:13:22.745887,5.2,61.762,2
2020-07-31 08:13:23.748410,50.0,62.838,2
2020-07-31 08:13:24.750362,50.1,63.914,2
2020-07-31 08:13:25.752451,50.0,63.376,2
2020-07-31 08:13:26.754346,50.0,64.452,2
2020-07-31 08:13:27.755798,50.2,64.452,2
2020-07-31 08:13:28.757692,50.1,64.452,2
2020-07-31 08:13:29.759734,50.0,64.99,2
2020-07-31 08:13:30.761675,49.5,65.528,2
2020-07-31 08:13:31.769773,26.8,64.452,1
2020-07-31 08:13:32.772183,25.0,64.452,1
2020-07-31 08:13:33.774139,25.0,64.452,1
2020-07-31 08:13:34.775799,25.2,63.914,1
2020-07-31 08:13:35.777695,25.0,64.452,1
2020-07-31 08:13:36.779523,25.0,64.452,1
2020-07-31 08:13:37.781464,25.8,64.452,1
2020-07-31 08:13:38.783580,25.0,64.452,1
2020-07-31 08:13:39.785489,25.0,64.452,1
2020-07-31 08:13:40.787392,25.2,64.452,1
2020-07-31 08:13:41.789347,25.0,64.452,1
2020-07-31 08:13:42.791332,24.8,64.452,1
2020-07-31 08:13:43.798698,52.4,64.99,2
2020-07-31 08:13:44.801129,49.9,65.528,2
2020-07-31 08:13:45.803076,50.0,65.528,2
2020-07-31 08:13:46.804992,50.0,66.604,2
2020-07-31 08:13:47.806992,50.1,65.528,2
2020-07-31 08:13:48.814531,99.0,66.604,4
2020-07-31 08:13:49.816976,100.0,68.218,4
2020-07-31 08:13:50.818926,100.0,67.68,4
2020-07-31 08:13:51.820866,99.5,69.294,4
2020-07-31 08:13:52.828269,51.2,68.756,2
2020-07-31 08:13:53.830695,50.0,68.756,2
2020-07-31 08:13:54.832769,49.9,68.218,2
2020-07-31 08:13:55.839990,98.8,69.294,4
2020-07-31 08:13:56.842412,100.0,69.832,4
2020-07-31 08:13:57.844446,100.0,70.37,4
2020-07-31 08:13:58.845802,100.0,70.908,4
2020-07-31 08:13:59.847687,100.0,70.908,4
2020-07-31 08:14:00.849567,100.0,71.446,4
2020-07-31 08:14:01.851511,100.0,71.446,4
2020-07-31 08:14:02.853598,100.0,71.984,4
2020-07-31 08:14:03.855519,100.0,71.984,4
2020-07-31 08:14:04.857422,100.0,73.06,4
2020-07-31 08:14:05.859338,100.0,73.06,4
2020-07-31 08:14:06.861218,100.0,73.06,4
2020-07-31 08:14:07.863108,100.0,73.598,4
2020-07-31 08:14:08.865253,100.0,73.06,4
2020-07-31 08:14:09.867339,100.0,73.06,4
2020-07-31 08:14:10.869353,100.0,73.598,4
2020-07-31 08:14:11.871291,100.0,74.136,4
2020-07-31 08:14:12.873215,100.0,74.136,4
2020-07-31 08:14:13.875290,97.0,74.136,4
2020-07-31 08:14:14.882459,76.2,74.136,3
2020-07-31 08:14:15.884892,75.0,73.598,3
2020-07-31 08:14:16.886798,75.2,73.598,3
2020-07-31 08:14:17.888876,74.8,73.598,3
2020-07-31 08:14:18.890906,75.0,73.06,3
2020-07-31 08:14:19.892848,75.0,73.06,3
2020-07-31 08:14:20.894765,75.0,73.06,3
2020-07-31 08:14:21.896696,75.2,73.598,3
2020-07-31 08:14:22.898614,75.0,73.06,3
2020-07-31 08:14:23.900645,75.0,73.598,3
2020-07-31 08:14:24.902552,75.0,73.598,3
2020-07-31 08:14:25.904479,75.0,73.598,3
2020-07-31 08:14:26.906369,75.2,73.598,3
2020-07-31 08:14:27.908305,75.0,74.136,3
2020-07-31 08:14:28.910224,75.0,73.598,3
2020-07-31 08:14:29.912210,75.0,74.136,3
2020-07-31 08:14:30.914151,73.0,73.598,3
2020-07-31 08:14:31.921430,2.7,71.984,0
2020-07-31 08:14:32.924805,0.0,70.37,0
2020-07-31 08:14:33.927617,0.2,69.832,0
2020-07-31 08:14:34.930167,0.0,69.832,0
2020-07-31 08:14:35.941722,27.3,69.832,1
2020-07-31 08:14:36.944157,25.0,69.832,1
2020-07-31 08:14:37.946077,25.2,69.832,1
2020-07-31 08:14:38.948002,25.0,69.832,1
2020-07-31 08:14:39.949901,25.0,69.294,1
2020-07-31 08:14:40.951809,25.1,69.832,1
2020-07-31 08:14:41.953749,24.8,69.832,1
2020-07-31 08:14:42.963390,98.5,71.446,4
2020-07-31 08:14:43.965803,100.0,73.06,4
2020-07-31 08:14:44.967773,100.0,73.06,4
2020-07-31 08:14:45.969675,100.0,74.136,4
2020-07-31 08:14:46.971604,100.0,74.136,4
2020-07-31 08:14:47.973709,100.0,75.212,4
2020-07-31 08:14:48.975801,100.0,75.212,4
2020-07-31 08:14:49.977714,100.0,75.212,4
2020-07-31 08:14:50.979581,100.0,75.212,4
2020-07-31 08:14:51.981493,100.0,75.75,4
2020-07-31 08:14:52.983433,100.0,76.288,4
2020-07-31 08:14:53.985379,98.0,75.75,4
2020-07-31 08:14:54.992871,52.2,75.75,2
2020-07-31 08:14:55.995289,50.0,75.212,2
2020-07-31 08:14:56.997290,50.2,74.674,2
2020-07-31 08:14:57.999268,50.1,74.136,2
2020-07-31 08:14:59.001214,49.6,74.136,2
2020-07-31 08:15:00.008791,98.8,75.212,4
2020-07-31 08:15:01.011236,100.0,75.75,4
2020-07-31 08:15:02.013279,100.0,76.288,4
2020-07-31 08:15:03.015369,100.0,76.288,4
2020-07-31 08:15:04.017355,100.0,77.364,4
2020-07-31 08:15:05.019237,100.0,77.364,4
2020-07-31 08:15:06.021148,100.0,77.364,4
2020-07-31 08:15:07.023048,100.0,77.364,4
2020-07-31 08:15:08.025004,100.0,77.364,4
2020-07-31 08:15:09.027194,100.0,77.364,4
2020-07-31 08:15:10.029257,98.3,78.44,4
2020-07-31 08:15:11.035848,77.2,77.902,3
2020-07-31 08:15:12.038297,75.0,77.364,3
2020-07-31 08:15:13.040332,74.8,77.902,3
2020-07-31 08:15:14.042366,75.0,76.826,3
2020-07-31 08:15:15.044281,75.0,77.902,3
2020-07-31 08:15:16.045816,75.2,77.364,3
2020-07-31 08:15:17.047866,75.0,77.364,3
2020-07-31 08:15:18.049848,74.8,77.364,3
2020-07-31 08:15:19.051881,75.0,77.364,3
2020-07-31 08:15:20.053831,75.0,77.364,3
2020-07-31 08:15:21.055717,75.2,77.902,3
2020-07-31 08:15:22.057688,75.0,77.364,3
2020-07-31 08:15:23.059601,75.0,77.364,3
2020-07-31 08:15:24.061502,74.8,77.364,3
2020-07-31 08:15:25.063488,75.0,77.364,3
2020-07-31 08:15:26.065409,75.0,77.902,3
2020-07-31 08:15:27.067348,75.2,77.364,3
2020-07-31 08:15:28.069310,72.8,77.902,3
2020-07-31 08:15:29.075849,52.4,77.364,2
2020-07-31 08:15:30.078288,49.9,76.826,2
2020-07-31 08:15:31.080303,50.0,76.826,2
2020-07-31 08:15:32.082271,50.0,76.288,2
2020-07-31 08:15:33.084259,49.8,76.826,2
2020-07-31 08:15:34.091815,75.7,77.364,3
2020-07-31 08:15:35.094264,75.0,77.364,3
2020-07-31 08:15:36.095800,75.2,77.364,3
2020-07-31 08:15:37.097745,75.0,77.364,3
2020-07-31 08:15:38.099687,75.0,77.364,3
2020-07-31 08:15:39.101624,75.0,77.902,3
2020-07-31 08:15:40.103529,74.8,77.902,3
2020-07-31 08:15:41.105542,75.0,77.902,3
2020-07-31 08:15:42.107514,75.2,77.902,3
2020-07-31 08:15:43.109476,75.0,77.902,3
2020-07-31 08:15:44.111363,75.0,77.902,3
2020-07-31 08:15:45.113234,75.0,78.44,3
2020-07-31 08:15:46.115145,74.8,77.902,3
2020-07-31 08:15:47.117145,75.4,78.44,3
2020-07-31 08:15:48.119267,75.4,77.902,3
2020-07-31 08:15:49.121397,75.0,77.902,3
2020-07-31 08:15:50.123388,73.0,77.902,3
2020-07-31 08:15:51.130598,52.5,77.902,2
2020-07-31 08:15:52.133039,49.9,77.902,2
2020-07-31 08:15:53.134999,50.0,77.364,2
2020-07-31 08:15:54.137006,50.2,76.826,2
2020-07-31 08:15:55.139064,50.0,76.826,2
2020-07-31 08:15:56.140988,50.1,76.288,2
2020-07-31 08:15:57.142932,49.5,76.288,2
2020-07-31 08:15:58.150964,75.2,77.364,3
2020-07-31 08:15:59.153398,75.0,77.364,3
2020-07-31 08:16:00.155324,75.0,77.364,3
2020-07-31 08:16:01.157317,75.2,77.902,3
2020-07-31 08:16:02.159440,75.0,77.902,3
2020-07-31 08:16:03.161363,75.0,78.44,3
2020-07-31 08:16:04.163265,75.0,78.44,3
2020-07-31 08:16:05.165162,75.0,77.902,3
2020-07-31 08:16:06.167175,75.2,77.902,3
2020-07-31 08:16:07.169193,75.2,77.364,3
2020-07-31 08:16:08.171166,75.0,78.44,3
2020-07-31 08:16:09.173154,75.2,78.44,3
2020-07-31 08:16:10.175106,75.0,77.902,3
2020-07-31 08:16:11.177111,75.4,77.902,3
2020-07-31 08:16:12.179033,75.2,77.902,3
2020-07-31 08:16:13.180956,75.0,78.978,3
2020-07-31 08:16:14.182908,75.2,78.44,3
2020-07-31 08:16:15.184845,72.8,77.902,3
2020-07-31 08:16:16.192243,52.1,78.44,2
2020-07-31 08:16:17.194630,49.9,77.902,2
2020-07-31 08:16:18.195801,50.2,77.902,2
2020-07-31 08:16:19.197810,50.0,77.364,2
2020-07-31 08:16:20.199716,49.9,77.902,2
2020-07-31 08:16:21.201631,50.0,77.364,2
2020-07-31 08:16:22.203570,50.0,77.364,2
2020-07-31 08:16:23.205512,49.9,76.826,2
2020-07-31 08:16:24.207449,50.2,76.288,2
2020-07-31 08:16:25.209462,50.0,76.288,2
2020-07-31 08:16:26.211375,49.9,76.826,2
2020-07-31 08:16:27.213231,50.0,76.826,2
2020-07-31 08:16:28.215134,50.0,76.826,2
2020-07-31 08:16:29.217195,50.2,76.288,2
2020-07-31 08:16:30.219107,50.0,76.826,2
2020-07-31 08:16:31.221052,50.1,76.288,2
2020-07-31 08:16:32.223003,48.8,76.288,2
2020-07-31 08:16:33.230369,2.7,74.136,0
2020-07-31 08:16:34.233812,0.0,73.598,0
2020-07-31 08:16:35.236489,0.0,72.522,0
2020-07-31 08:16:36.239053,0.2,71.984,0
2020-07-31 08:16:37.241622,0.0,71.984,0
2020-07-31 08:16:38.244717,0.0,70.908,0
2020-07-31 08:16:39.247494,0.2,70.908,0
2020-07-31 08:16:40.259871,98.5,73.598,4
2020-07-31 08:16:41.262304,100.0,75.212,4
2020-07-31 08:16:42.264295,100.0,76.288,4
2020-07-31 08:16:43.265806,100.0,77.364,4
2020-07-31 08:16:44.267846,100.0,77.364,4
2020-07-31 08:16:45.269769,100.0,77.364,4
2020-07-31 08:16:46.271689,99.2,77.902,4
2020-07-31 08:16:47.281127,75.8,77.902,3
2020-07-31 08:16:48.283551,75.3,77.902,3
2020-07-31 08:16:49.285669,75.4,77.364,3
2020-07-31 08:16:50.287649,75.0,77.364,3
2020-07-31 08:16:51.289540,75.0,77.902,3
2020-07-31 08:16:52.291470,75.2,77.902,3
2020-07-31 08:16:53.293401,75.0,77.902,3
2020-07-31 08:16:54.295331,75.0,77.364,3
2020-07-31 08:16:55.297411,75.2,77.902,3
2020-07-31 08:16:56.299391,73.9,77.364,3
2020-07-31 08:16:57.306949,26.6,76.288,1
2020-07-31 08:16:58.309363,25.0,75.75,1
2020-07-31 08:16:59.311299,25.0,75.212,1
2020-07-31 08:17:00.313187,25.1,75.212,1
2020-07-31 08:17:01.315115,24.9,74.674,1
2020-07-31 08:17:02.322655,99.0,76.288,4
2020-07-31 08:17:03.325070,100.0,77.364,4
2020-07-31 08:17:04.327092,100.0,77.902,4
2020-07-31 08:17:05.328973,100.0,77.902,4
2020-07-31 08:17:06.330889,100.0,78.978,4
2020-07-31 08:17:07.332751,100.0,78.978,4
2020-07-31 08:17:08.334711,100.0,79.516,4
2020-07-31 08:17:09.336845,100.0,79.516,4
2020-07-31 08:17:10.338861,98.5,79.516,4
2020-07-31 08:17:11.347267,26.4,77.902,1
2020-07-31 08:17:12.349690,25.0,77.364,1
2020-07-31 08:17:13.351618,25.0,76.288,1
2020-07-31 08:17:14.353586,25.0,76.288,1
2020-07-31 08:17:15.355482,25.0,75.212,1
2020-07-31 08:17:16.357412,25.4,75.212,1
2020-07-31 08:17:17.359442,25.0,75.212,1
2020-07-31 08:17:18.361402,25.2,75.212,1
2020-07-31 08:17:19.363389,25.0,74.674,1
2020-07-31 08:17:20.365907,24.9,74.136,1
2020-07-31 08:17:21.374973,50.6,75.212,2
2020-07-31 08:17:22.377508,50.2,75.212,2
2020-07-31 08:17:23.379428,50.1,75.75,2
2020-07-31 08:17:24.381452,50.0,75.75,2
2020-07-31 08:17:25.383415,50.0,75.75,2
2020-07-31 08:17:26.385323,50.1,75.75,2
2020-07-31 08:17:27.387363,50.4,76.826,2
2020-07-31 08:17:28.389261,50.0,75.75,2
2020-07-31 08:17:29.391221,50.1,76.288,2
2020-07-31 08:17:30.393232,50.1,75.75,2
2020-07-31 08:17:31.395194,50.0,75.75,2
2020-07-31 08:17:32.397229,50.4,76.288,2
2020-07-31 08:17:33.399181,50.1,75.75,2
2020-07-31 08:17:34.401211,50.0,75.75,2
2020-07-31 08:17:35.403259,48.7,76.288,2
2020-07-31 08:17:36.410847,75.4,76.826,3
2020-07-31 08:17:37.413247,75.6,76.288,3
2020-07-31 08:17:38.415383,75.0,76.288,3
2020-07-31 08:17:39.417510,75.2,76.288,3
2020-07-31 08:17:40.419615,75.0,77.364,3
2020-07-31 08:17:41.421571,74.8,76.288,3
2020-07-31 08:17:42.423530,75.0,77.364,3
2020-07-31 08:17:43.425458,75.0,77.364,3
2020-07-31 08:17:44.427395,75.2,77.364,3
2020-07-31 08:17:45.429263,75.0,77.364,3
2020-07-31 08:17:46.431189,75.0,77.364,3
2020-07-31 08:17:47.433111,74.8,77.364,3
2020-07-31 08:17:48.435248,75.4,77.902,3
2020-07-31 08:17:49.437418,75.2,77.902,3
2020-07-31 08:17:50.439398,73.2,78.44,3
2020-07-31 08:17:51.446892,3.2,76.288,0
2020-07-31 08:17:52.450351,0.0,74.136,0
2020-07-31 08:17:53.453018,0.0,73.598,0
2020-07-31 08:17:54.455660,0.2,73.06,0
2020-07-31 08:17:55.458570,0.0,71.984,0
2020-07-31 08:17:56.461223,0.0,72.522,0
2020-07-31 08:17:57.463711,0.0,71.984,0
2020-07-31 08:17:58.466362,0.0,71.984,0
2020-07-31 08:17:59.481584,98.5,74.136,4
2020-07-31 08:18:00.484014,100.0,75.75,4
2020-07-31 08:18:01.485820,100.0,76.288,4
2020-07-31 08:18:02.487937,100.0,77.364,4
2020-07-31 08:18:03.489852,100.0,77.902,4
2020-07-31 08:18:04.491757,100.0,77.902,4
2020-07-31 08:18:05.499713,98.5,78.44,4
2020-07-31 08:18:06.507340,1.5,75.75,0
2020-07-31 08:18:07.510771,0.0,74.674,0
2020-07-31 08:18:08.513404,0.0,73.06,0
2020-07-31 08:18:09.525264,98.5,75.75,4
2020-07-31 08:18:10.527713,100.0,76.826,4
2020-07-31 08:18:11.529560,100.0,77.364,4
2020-07-31 08:18:12.531528,100.0,78.44,4
2020-07-31 08:18:13.533658,100.0,78.44,4
2020-07-31 08:18:14.535610,99.3,78.44,4
2020-07-31 08:18:15.543140,26.4,77.364,1
2020-07-31 08:18:16.545549,25.4,76.288,1
2020-07-31 08:18:17.547676,25.1,75.212,1
2020-07-31 08:18:18.549614,25.0,75.212,1
2020-07-31 08:18:19.551642,25.0,74.674,1
2020-07-31 08:18:20.553583,24.8,74.674,1
2020-07-31 08:18:21.563222,75.6,75.212,3
2020-07-31 08:18:22.565662,75.2,75.75,3
2020-07-31 08:18:23.567659,75.0,76.288,3
2020-07-31 08:18:24.569664,75.0,77.364,3
2020-07-31 08:18:25.571786,75.2,77.364,3
2020-07-31 08:18:26.573744,75.0,77.364,3
2020-07-31 08:18:27.575679,75.4,77.364,3
2020-07-31 08:18:28.577617,75.0,77.902,3
2020-07-31 08:18:29.579570,75.0,77.902,3
2020-07-31 08:18:30.581481,75.2,77.902,3
2020-07-31 08:18:31.583497,75.0,78.44,3
2020-07-31 08:18:32.585479,73.8,77.902,3
2020-07-31 08:18:33.593006,98.7,78.44,4
2020-07-31 08:18:34.595443,100.0,78.978,4
2020-07-31 08:18:35.597414,100.0,79.516,4
2020-07-31 08:18:36.599307,100.0,79.516,4
2020-07-31 08:18:37.601264,100.0,80.054,4
2020-07-31 08:18:38.603371,100.0,80.054,4
2020-07-31 08:18:39.605444,100.0,80.592,4
2020-07-31 08:18:40.607516,100.0,79.516,4
2020-07-31 08:18:41.609545,100.0,80.054,4
2020-07-31 08:18:42.611525,100.0,80.592,4
2020-07-31 08:18:43.613417,100.0,80.592,4
2020-07-31 08:18:44.615412,98.0,81.13,4
2020-07-31 08:18:45.623178,52.5,79.516,2
2020-07-31 08:18:46.625606,50.5,79.516,2
2020-07-31 08:18:47.627625,50.1,78.978,2
2020-07-31 08:18:48.630071,50.4,78.44,2
2020-07-31 08:18:49.632279,50.0,78.44,2
2020-07-31 08:18:50.634245,50.1,77.902,2
2020-07-31 08:18:51.635850,49.6,78.44,2
2020-07-31 08:18:52.644068,1.5,76.288,0
2020-07-31 08:18:53.647651,0.2,75.212,0
2020-07-31 08:18:54.650469,0.0,74.674,0
2020-07-31 08:18:55.653150,0.0,73.598,0
2020-07-31 08:18:56.664916,98.5,76.826,4
2020-07-31 08:18:57.667417,100.0,77.364,4
2020-07-31 08:18:58.669389,100.0,78.978,4
2020-07-31 08:18:59.671288,100.0,78.978,4
2020-07-31 08:19:00.673227,99.5,80.054,4
2020-07-31 08:19:01.682538,2.0,76.826,0
2020-07-31 08:19:02.685952,0.0,75.212,0
2020-07-31 08:19:03.688560,0.0,74.674,0
2020-07-31 08:19:04.691206,0.0,74.136,0
2020-07-31 08:19:05.693777,0.0,73.06,0
2020-07-31 08:19:06.705363,27.9,74.136,1
2020-07-31 08:19:07.707786,25.0,74.136,1
2020-07-31 08:19:08.709748,25.0,74.674,1
2020-07-31 08:19:09.711714,25.0,74.674,1
2020-07-31 08:19:10.718867,51.1,74.674,2
2020-07-31 08:19:11.721294,50.0,75.212,2
2020-07-31 08:19:12.723279,50.0,75.212,2
2020-07-31 08:19:13.725244,49.9,75.212,2
2020-07-31 08:19:14.727239,50.2,76.288,2
2020-07-31 08:19:15.729165,49.5,75.75,2
2020-07-31 08:19:16.736977,26.8,74.674,1
2020-07-31 08:19:17.739362,25.0,74.674,1
2020-07-31 08:19:18.741348,25.0,74.136,1
2020-07-31 08:19:19.743374,25.0,74.136,1
2020-07-31 08:19:20.745267,25.1,74.136,1
2020-07-31 08:19:21.747284,25.4,74.136,1
2020-07-31 08:19:22.749231,25.0,73.598,1
2020-07-31 08:19:23.751177,25.0,73.598,1
2020-07-31 08:19:24.753193,25.0,73.06,1
2020-07-31 08:19:25.755138,25.0,73.06,1
2020-07-31 08:19:26.757123,24.9,73.06,1
2020-07-31 08:19:27.764336,1.5,72.522,0
2020-07-31 08:19:28.767911,0.2,71.984,0
2020-07-31 08:19:29.770666,0.0,70.908,0
2020-07-31 08:19:30.773248,0.0,70.908,0
2020-07-31 08:19:31.775848,0.0,70.37,0
2020-07-31 08:19:32.778434,0.0,70.908,0
2020-07-31 08:19:33.780999,0.0,69.832,0
2020-07-31 08:19:34.783523,0.0,69.832,0
2020-07-31 08:19:35.786069,0.0,69.832,0
2020-07-31 08:19:36.788606,0.0,69.832,0
2020-07-31 08:19:37.791202,0.0,69.832,0
2020-07-31 08:19:38.793787,0.0,68.756,0
2020-07-31 08:19:39.805254,75.4,71.984,3
2020-07-31 08:19:40.807709,75.2,71.984,3
2020-07-31 08:19:41.809681,75.0,73.06,3
2020-07-31 08:19:42.811665,75.0,74.136,3
2020-07-31 08:19:43.813534,75.0,74.136,3
2020-07-31 08:19:44.815454,75.0,75.212,3
2020-07-31 08:19:45.817419,75.2,75.212,3
2020-07-31 08:19:46.819343,75.0,75.212,3
2020-07-31 08:19:47.821279,75.6,75.212,3
2020-07-31 08:19:48.823419,75.0,75.212,3
2020-07-31 08:19:49.825362,75.0,75.75,3
2020-07-31 08:19:50.827392,75.2,75.212,3
2020-07-31 08:19:51.829274,75.0,75.75,3
2020-07-31 08:19:52.831249,75.0,76.288,3
2020-07-31 08:19:53.833196,75.0,75.75,3
2020-07-31 08:19:54.835504,75.0,76.288,3
2020-07-31 08:19:55.837546,75.2,76.826,3
2020-07-31 08:19:56.839546,75.0,76.826,3
2020-07-31 08:19:57.841510,73.3,76.288,3
2020-07-31 08:19:58.849277,1.7,75.212,0
2020-07-31 08:19:59.852446,0.0,73.598,0
2020-07-31 08:20:00.855240,0.0,71.984,0
2020-07-31 08:20:01.857966,0.7,71.984,0
2020-07-31 08:20:02.860791,0.0,70.908,0
2020-07-31 08:20:03.863294,0.0,70.908,0
2020-07-31 08:20:04.865860,0.0,70.908,0
2020-07-31 08:20:05.868425,0.0,69.832,0
2020-07-31 08:20:06.870970,0.0,69.832,0
2020-07-31 08:20:07.873623,0.0,69.832,0
2020-07-31 08:20:08.876197,0.0,69.832,0
2020-07-31 08:20:09.878763,0.0,69.294,0
2020-07-31 08:20:10.881424,0.0,69.294,0
2020-07-31 08:20:11.883954,0.0,69.294,0
2020-07-31 08:20:12.886556,0.0,68.756,0
2020-07-31 08:20:13.889145,0.0,68.756,0
2020-07-31 08:20:14.891676,0.0,68.756,0
2020-07-31 08:20:15.894226,0.0,68.218,0
2020-07-31 08:20:16.895910,0.0,68.218,0
2020-07-31 08:20:17.910699,51.6,70.908,2
2020-07-31 08:20:18.913043,50.0,70.908,2
2020-07-31 08:20:19.915071,50.1,70.908,2
2020-07-31 08:20:20.917196,50.4,71.446,2
2020-07-31 08:20:21.919165,50.0,71.446,2
2020-07-31 08:20:22.921100,50.1,71.984,2
2020-07-31 08:20:23.923061,50.0,71.984,2
